location,society,total_sqft,price,bath_processed,balcony_processed,availability_encoded,area_type_encoded,size_cleaned
Varthur,HioraTr,1160.0,44.0,2,2,0,0,2
Gunjur,BMineis,1140.0,43.0,2,3,2,3,2
Begur Road,Pruthg ,1358.0,80.58,2,1,2,3,2
Hegde Nagar,Sonosty,1569.0,101.0,3,1,0,3,3
Haralur Road,SNnia E,1240.0,70.0,2,1,2,3,2
Hennur Road,Anavi B,2089.0,140.0,3,2,0,3,3
Cholanayakanahalli,Viony H,2511.0,205.0,3,3,0,0,3
Kodanda Reddy Layout,AdentEl,1660.0,105.0,2,2,0,3,3
Hennur Road,Gollela,2957.0,224.5,2,2,2,0,4
Yelahanka,Niareum,1326.0,78.0,2,2,2,3,2
EPIP Zone,SJlynro,1499.0,102.0,5,2,0,3,3
Dasanapura,Tavenew,708.0,37.0,2,2,2,3,2
Kasavanhalli,Srire S,1060.0,58.06,2,2,0,3,2
Sanjay nagar,Saenti ,1000.0,70.0,2,2,0,0,2
Thanisandra,Bhmesy ,1296.0,80.0,2,3,2,3,2
Kengeri,Goardth,2894.0,245.0,4,1,0,2,4
Yeshwanthpur,IBityin,2502.0,138.0,3,3,0,3,3
Chandapura,KHityry,650.0,17.0,1,1,0,0,2
Kothanur,BDensar,2400.0,150.0,2,1,0,2,3
Green View Layout,Makeser,1007.0,43.0,2,2,0,3,2
Shantiniketan Layout,Maest N,1200.0,50.0,2,2,0,3,2
Rajaji Nagar,Brway G,1640.0,229.0,3,2,0,0,3
Devanahalli,Oznuean,1260.0,66.78,2,2,2,3,2
Byatarayanapura,Reeroce,1413.0,75.0,2,2,0,3,3
Whitefield,Sonviik,1116.0,51.91,2,1,0,3,2
Electronic City,DSgmax ,1530.0,45.9,2,1,0,3,3
Sarjapur  Road,Cetattu,2497.0,140.0,3,2,0,0,3
Kengeri,Vaens G,1540.0,64.0,2,3,0,3,3
Thanisandra,Moity S,1427.0,120.0,3,2,0,3,3
Akshaya Nagar,HiahsLa,2061.0,200.0,3,1,0,3,3
Hebbal,SNontle,3067.0,477.0,4,0,2,3,4
Devanahalli,Sabixtt,1282.0,68.52,2,2,2,3,3
LB Shastri Nagar,Sragei ,1600.0,65.0,3,2,0,0,3
Hormavu,SyidaCr,1500.0,78.0,2,1,0,3,2
Peenya,Jahts H,1870.0,110.0,3,3,0,0,3
Sarjapur,Inensba,1600.0,75.0,3,1,0,2,3
Electronic City,Itelaa ,880.0,16.5,1,1,0,3,2
Kudlu Gate,Srier P,1535.0,83.0,3,2,0,3,3
Kanakpura Road,Wiowsri,950.0,57.0,2,1,0,0,2
Devanahalli,Derdsig,1360.0,65.0,2,1,2,3,2
8th Phase JP Nagar,Vaarech,1042.0,54.005,2,0,2,3,2
Chandra Layout,TiaksAa,1260.0,85.05,2,2,2,3,3
Yelahanka,LedorSa,3050.0,213.0,5,1,2,3,5
Kasavanhalli,HMwerCo,1563.05,105.0,3,1,0,3,3
Anandapura,ViensRK,1167.0,43.76,2,1,2,3,2
Kothanur,Somumys,1828.0,110.0,3,2,0,3,3
Kengeri Satellite Town,HoiewLa,890.0,35.0,2,1,0,3,2
Basavanapura,Dwity T,1612.0,46.74,3,3,0,3,3
Mysore Road,Brama P,1710.0,91.31,4,2,2,3,3
Kannamangala,VBownre,957.0,58.0,2,1,0,3,2
Sanjeevini Nagar,Betatsi,2795.0,235.0,4,3,0,3,3
Hulimavu,Prcan P,1125.0,50.0,2,2,0,3,2
Electronic City Phase II,Sryalan,1020.0,30.6,2,1,2,3,2
Thanisandra,Soitya ,1735.0,135.0,3,3,0,3,3
Thanisandra,G conTh,2050.0,145.0,3,1,0,3,3
Hosa Road,SStusan,1063.0,32.0,2,1,2,3,2
Keshava Nagar,ETens G,1904.0,150.0,3,1,0,3,3
RMV Extension,Hohnari,2000.0,175.0,3,1,0,3,3
Sarjapur,Kinuerg,1145.0,43.49,2,0,2,3,2
Tejaswini Nagar,Naods W,1425.0,75.0,2,2,0,3,3
Electronic City,GMown E,1500.0,64.5,2,1,0,3,3
Electronic City,GMown E,1060.0,60.0,2,1,0,0,2
Jai Bheema Nagar,Sancyra,1470.0,70.0,2,2,0,0,3
Attibele,Jae 1hu,450.0,11.0,1,1,0,3,1
Electronic City,Prarkun,1152.0,64.5,2,1,2,3,2
Electronic City,GMown E,1350.0,56.0,2,1,0,3,3
CV Raman Nagar,Srshq T,1550.0,65.0,3,3,0,3,3
Malleshwaram,Utntspa,705.0,67.0,1,2,0,3,1
Electronic City,GMown E,770.0,36.0,1,1,0,0,2
Hulimavu,Aniona ,1242.0,51.0,2,3,0,3,2
Hebbal Kempapura,Goateds,1700.0,155.0,3,2,0,3,3
Thanisandra,Soitya ,2144.0,145.0,3,2,0,3,3
Vijayanagar,Saahaat,1704.0,110.0,3,2,2,3,3
Electronic City,GMown E,1070.0,52.0,2,1,0,3,2
Electronic City,GMown E,1025.0,46.0,2,1,0,0,2
KR Puram,MCvarar,1015.0,56.8,2,0,0,3,2
Marathahalli,VRave E,1200.0,52.0,2,2,0,3,2
Pattandur Agrahara,MaidoPl,1550.0,80.0,2,3,0,3,3
Marathahalli,Aiitya ,1200.0,60.0,2,2,0,3,2
Yelahanka,PuziaVe,1327.0,98.0,2,2,0,3,2
HSR Layout,NRosete,1400.0,56.0,3,2,0,3,3
Whitefield,Sancya ,1225.0,47.6,2,2,0,0,2
Kadugodi,MSingco,1260.0,54.0,2,2,0,0,3
Yelahanka,Pyikad ,1282.0,48.7,2,2,0,3,3
Kogilu,CaIRSCr,1909.0,88.0,3,2,0,3,3
Panathur,Prcesvy,1359.0,87.0,2,1,0,3,2
Kammasandra,Emstael,1595.0,65.0,3,2,0,3,3
Electronics City Phase 1,SNdri N,1475.0,78.29,3,2,0,3,3
Tala Cauvery Layout,HodhiSa,1580.0,100.0,3,3,0,3,3
Dasarahalli,Syonyph,1295.0,65.0,2,1,0,3,2
Electronic City,Itvir M,589.0,27.0,1,1,0,3,1
Sarjapur  Road,Klark L,1787.0,98.29,3,2,2,3,3
Sarjapur  Road,Klark L,1787.0,125.0,3,2,0,3,3
Koramangala,Piityra,1475.0,90.0,2,3,0,3,3
Sarjapur  Road,AsastDe,984.0,44.28,2,1,2,3,2
Devanahalli,Jurdsig,1520.0,74.82,2,1,2,3,3
Muthurayya Swamy Layout,MacleK ,2405.0,260.0,4,2,0,3,3
7th Phase JP Nagar,Brnia G,1080.0,72.0,2,2,0,0,2
Budigere,PrityTr,1153.0,56.4,2,2,0,3,2
Dodda Nekkundi Extension,AlEcone,1148.0,60.0,2,2,0,3,2
Mylasandra,Laowsba,1110.0,55.0,2,2,0,3,2
Electronic City,Saave R,1100.0,42.0,2,2,0,0,2
Kalyan nagar,Anave S,1290.0,110.0,2,2,0,3,2
Vijayanagar,Saityat,1933.0,129.0,3,1,2,3,3
Chandapura,SunceEs,645.0,16.45,1,1,2,3,1
Chandapura,SunceEs,645.0,16.45,1,1,2,3,1
Ashwath Nagar,SJcerpe,1644.0,84.0,3,3,0,3,3
Ncpr Industrial Layout,Supams ,1285.0,72.5,2,3,0,3,2
Electronic City,CoapeSo,910.0,40.0,2,1,0,3,2
Kothanur,Bisic C,1577.0,70.0,3,1,0,3,3
Meenakunte,Sreat R,4050.0,280.0,3,2,2,2,3
OMBR Layout,Inntsa ,2420.0,185.0,3,2,0,3,3
Chandapura,KHityry,800.0,20.0,1,1,0,3,2
7th Phase JP Nagar,BriumMi,1270.0,93.0,2,2,0,3,2
Electronic City,Prarkun,1108.0,63.0,2,1,2,3,2
Coffee Board Layout,Calyxy ,3045.0,170.0,3,2,0,3,3
Ambedkar Nagar,Thessrm,2900.0,300.0,3,2,0,2,4
Vijayanagar,JJortom,1500.0,75.5,3,2,0,3,3
Raja Rajeshwari Nagar,GrrvaGr,1295.0,43.9,2,2,0,3,2
Budigere,PrityTr,1162.0,59.9,2,1,0,3,2
Sarjapur  Road,Usquaya,1035.0,49.2,2,2,0,3,2
Attibele,Natic T,1600.0,52.8,4,0,0,0,4
Hennur Road,DSapeSk,1866.0,61.58,2,2,2,3,3
Geleyara Balaga Layout,Jahtsa ,700.0,26.0,1,1,0,3,2
Kalena Agrahara,Prillot,1804.0,120.0,3,2,0,3,3
Talaghattapura,Sodgere,1868.0,131.0,3,2,2,3,3
Hegde Nagar,SoitaCa,2026.0,132.0,3,2,0,3,3
Balagere,Soestin,1210.0,80.9,2,1,0,3,2
Meenakunte,Sreat R,4111.0,250.0,4,2,0,2,4
Kadugodi,Alestrb,1762.0,91.45,3,3,0,3,3
Jigani,DLhtsen,1252.0,55.0,3,3,0,3,3
Gollarapalya Hosahalli,Mauner ,861.0,34.5,2,1,0,0,2
7th Phase JP Nagar,Brnia G,1420.0,100.0,2,1,0,0,3
Electronics City Phase 1,GaicaVe,1490.0,78.8,3,1,0,0,3
Old Madras Road,Saesttt,1425.0,94.0,2,2,2,3,3
Kalena Agrahara,Nae 2El,1200.0,40.0,2,1,0,0,2
Silver Springs Layout,Bhinglv,1084.0,50.0,2,2,0,3,2
Chandapura,SunceEs,1015.0,25.88,2,2,2,3,2
Kanakpura Road,GolusLi,1017.0,51.25,2,1,2,3,2
Electronic City Phase II,Coush W,1069.0,45.0,2,2,0,3,2
Hebbal,Prersis,1349.0,98.2,2,1,0,3,2
9th Phase JP Nagar,NaensGa,1005.0,50.0,2,1,0,3,2
Jakkur,Arzzo P,1417.0,75.0,2,3,0,3,2
Maruthi Sevanagar,SMikaay,950.0,47.0,2,2,0,1,2
RMV 2nd Stage,Prave E,2000.0,120.0,4,0,0,3,4
Sarjapur  Road,Ahriaup,1863.0,104.0,3,2,0,3,4
Singasandra,Priewhi,1010.0,29.5,2,1,0,3,2
Kalena Agrahara,Shodsth,1425.0,70.0,2,1,0,3,3
Vijayanagar,Swadeh ,1450.0,100.0,3,0,0,3,3
Kothanur,Somumys,1847.0,105.0,3,2,0,3,3
AECS Layout,Soran U,1100.0,45.0,2,3,0,3,2
Kanakpura Road,PrarePa,525.0,26.0,1,1,2,3,1
Mallasandra,Puestig,1665.0,95.0,3,2,0,3,3
Begur,Prntsrt,1664.0,65.0,4,3,0,3,4
JP Nagar,Maerar ,1850.0,150.0,3,3,0,3,3
Panathur,Vaesh T,1438.0,100.0,2,3,0,3,2
Sunder Ram Shetty Nagar,MaisePa,1560.0,115.0,3,3,0,3,3
Kanakpura Road,JRrnauv,1550.0,67.0,3,3,0,3,3
Whitefield,Gotis A,1280.0,75.0,2,2,0,3,2
Motappa Layout,Puodse ,1113.0,51.0,2,1,0,3,2
Hennur Road,Mileeou,1385.0,83.09,2,1,0,3,2
Electronic City,Prarkun,1128.0,65.0,2,1,2,3,2
Rajaji Nagar,PhestOn,2390.0,415.0,3,2,0,3,3
Haralur Road,NRowse ,1464.0,56.0,3,2,0,3,3
Kaval Byrasandra,Abncy R,1200.0,52.0,2,2,0,3,2
Kaggalipura,Baowsig,1150.0,55.0,2,1,0,3,3
Basavanna Nagar,Itala A,1645.0,95.0,3,2,0,0,3
6th Phase JP Nagar,HMinebo,1192.0,74.0,2,2,0,3,2
Ulsoor,K borja,2135.0,215.0,3,2,0,3,3
Whitefield,Oreldhi,1173.0,58.0,2,1,2,3,2
Uttarahalli,Sungspr,1020.0,45.0,2,2,0,0,2
Thigalarapalya,Prtanha,3122.0,230.0,6,2,0,3,4
 Devarachikkanahalli,Clntsrt,1250.0,40.0,2,2,0,3,2
Kalena Agrahara,PuamaPa,1325.0,76.0,2,2,0,3,2
7th Phase JP Nagar,Brngsal,1850.0,150.0,3,1,0,0,3
Kanakpura Road,PrarePa,525.0,21.53,3,1,2,3,1
Bommasandra,SSestth,1260.0,49.36,3,1,2,3,3
Prashanth Nagar,Vancy R,1800.0,150.0,3,0,0,3,3
Suragajakkanahalli,PrhyaK ,11.0,74.0,3,2,2,2,3
Ardendale,Miwel M,1100.0,43.25,2,1,0,0,2
Harlur,SrEndPo,1508.0,77.0,2,1,0,3,2
Sampigehalli,Puens G,1592.0,75.0,3,2,0,1,3
Akshaya Nagar,SagasSa,1388.0,57.0,2,3,0,3,2
Electronic City Phase II,SNbay G,630.0,28.35,1,1,2,3,1
Kodihalli,Soianal,3252.0,335.0,5,3,0,3,4
Magadi Road,Vrenty ,1116.0,50.0,2,1,2,3,2
Narayanapura,AriosHe,1308.0,89.04,2,2,0,3,2
Hennur,SLureSi,1075.0,52.0,2,1,0,3,2
Chandapura,Siissi ,530.0,11.66,1,0,2,3,1
5th Phase JP Nagar,Mangsr ,1075.0,60.0,2,2,0,3,2
KR Puram,HovasTe,930.0,39.0,2,2,0,0,2
Balagere,Exncene,1380.0,60.0,2,1,0,3,2
Hebbal,Prersis,2483.0,212.0,5,2,0,3,4
Kodigehaali,Shyas S,1166.0,55.0,2,2,0,0,2
Bannerghatta Road,NadelCi,1050.0,65.0,2,1,0,3,2
Gopalapura,Sothadr,2023.71,275.0,3,2,2,3,3
Begur Road,Dhalsh ,1200.0,46.8,2,2,0,3,2
Lakshminarayana Pura,Puarent,1600.0,108.0,2,1,0,3,3
Billekahalli,MaionPa,1935.0,110.0,3,2,0,3,3
8th Phase JP Nagar,Maian M,451.0,29.9,1,0,2,3,1
Electronic City,ShstaAl,1800.0,95.0,3,2,0,3,3
Jalahalli,Shard T,1400.0,77.0,3,0,2,3,3
Hegde Nagar,SoitaCa,1801.0,115.0,3,2,0,3,3
Mahadevpura,Neagar ,1451.0,90.0,2,2,0,0,2
Begur Road,Dhalsh ,1160.0,44.0,2,2,0,3,2
Kanakpura Road,Wiowsri,950.0,40.0,2,1,0,3,2
Vijayanagar,Saityat,1826.0,121.0,3,2,2,3,3
7th Phase JP Nagar,Eladero,1245.0,94.0,2,1,0,0,2
Raja Rajeshwari Nagar,Lancyey,1145.0,45.79,2,2,0,3,2
Sompura,Suiseit,825.0,33.0,2,1,0,3,2
Yeshwanthpur,Aroomba,1693.0,108.0,3,3,2,3,3
Electronics City Phase 1,Courf T,1113.27,53.0,2,2,0,3,2
Ashirvad Colony,VMowsea,1460.0,58.0,2,1,0,0,2
Doddathoguru,S onsMa,1050.0,32.0,2,1,0,0,2
Dodda Nekkundi,Tuentpa,1260.0,55.0,2,2,0,0,2
Hosur Road,Tovesee,1656.0,120.0,2,1,0,0,2
Chandapura,Vailsaf,1208.0,45.0,3,1,0,3,3
Whitefield,BrlisCo,1910.0,161.0,3,2,0,3,3
Whitefield,Haestt ,3252.0,230.0,4,1,0,3,4
7th Phase JP Nagar,BriumMi,1175.0,82.0,2,1,0,3,2
Rajaji Nagar,PhestOn,2390.0,410.0,3,2,0,3,3
Sanne Amanikere,Hoxiaa ,1185.0,38.0,2,0,0,3,2
Kengeri,VBvenal,750.0,38.0,2,1,0,3,2
Kanakpura Road,JRrnauv,1550.0,64.5,3,3,0,3,3
Amco Colony,Hoeatan,1760.0,88.0,3,2,0,0,3
Billekahalli,Asity S,1125.0,62.0,2,2,0,3,2
Budigere,PrityTr,1991.0,103.0,4,2,0,3,3
Bommasandra,DSoodil,1060.0,26.5,2,1,2,3,2
Ambalipura,SJarkte,1105.0,75.0,2,1,0,3,2
Hoodi,Dhgraas,985.0,67.0,2,2,0,0,2
Balagere,HiqueMa,1590.0,79.0,3,2,2,3,3
CV Raman Nagar,Srshq T,1120.0,55.0,2,2,0,3,2
Samethanahalli,SPontna,1069.0,55.0,2,1,0,3,2
Marathahalli,Prionad,1933.0,140.0,3,2,0,3,3
Hosur Road,PuendWe,1194.0,69.0,2,0,2,0,2
Brookefield,Danna S,1150.0,69.0,2,3,0,3,2
Raja Rajeshwari Nagar,GrrvaGr,1419.0,48.1,2,2,0,3,2
Richmond Town,Bltonin,2150.0,240.0,4,2,0,3,3
Suddaguntepalya,MSanaer,1450.0,55.0,3,2,0,3,3
Udayapur Village,Plowsri,1630.0,68.29,3,2,2,3,3
Dasanapura,Tavenew,708.0,40.0,1,1,0,3,2
Bellandur,Ocavees,1250.0,76.0,2,1,0,3,2
7th Phase JP Nagar,Brnia G,1400.0,95.0,2,1,0,3,3
Ardendale,SoystAm,1750.0,100.0,3,2,0,3,3
Vittasandra,Prlla C,1404.0,71.0,2,1,0,3,2
Hoodi,SMaxyay,1715.0,95.0,2,2,0,3,3
Electronic City,Prarkun,630.0,34.65,1,1,2,0,1
Harlur,SosicCl,1752.12,135.0,3,2,0,3,3
Raja Rajeshwari Nagar,GrrvaGr,1295.0,55.47,2,1,0,3,2
Giri Nagar,Bancyri,1800.0,252.0,3,2,0,2,3
Sarjapur  Road,PualeSk,1346.0,74.03,2,1,2,3,2
Hormavu,ElavuHo,1150.0,55.0,2,2,0,3,2
Chikkabidarakallu,Gontyol,3309.0,325.0,4,3,0,0,4
Chandapura,SunceEs,1190.0,30.35,2,2,2,3,3
AECS Layout,DSutyng,1620.0,98.0,3,2,0,3,3
1 Giri Nagar,Bancyri,5000.0,360.0,9,3,0,3,11
Harlur,SrEndPo,2450.0,120.0,3,0,0,3,3
Electronic City Phase II,Sryalan,1220.0,35.23,2,1,2,3,3
Hoysalanagar,RKntsrt,850.0,30.0,2,1,0,3,2
Defence Colony,Vantspa,1150.0,126.0,2,2,0,3,2
Hebbal,Mahosya,1760.0,130.0,2,2,2,3,3
Amruthahalli,Prowsi ,900.0,40.0,2,1,0,3,2
Whitefield,SMuilan,1130.0,42.16,2,1,2,3,2
Koramangala,Proodt ,1320.0,165.0,2,1,0,3,2
Patelappa Layout,Sryamar,1200.0,62.0,2,1,0,0,2
Subramanyapura,Prldsri,929.0,50.17,2,0,0,3,2
RMV 2nd Stage,LiaveEn,1150.0,260.0,4,2,0,0,4
3rd Block Hrbr Layout,Bemesrm,1200.0,190.0,5,2,0,2,5
Hebbal Kempapura,Vrensn ,1130.0,60.0,2,2,0,3,2
Surabhi Layout,VDdonel,1753.0,120.0,3,2,0,3,3
Old Madras Road,Brica E,4500.0,337.0,7,3,0,3,5
Hoodi,GoAirej,1196.0,94.42,2,2,2,3,2
5th Phase JP Nagar,Prenty ,1150.0,52.5,3,3,0,0,2
Electronic City,Prarkun,1128.0,63.0,2,1,2,3,2
Omkar Nagar,Shinei ,1000.0,53.0,2,1,0,3,2
Yelahanka,Apows M,1035.0,45.0,2,1,0,3,2
Bisuvanahalli,Prityel,1075.0,36.0,2,1,0,3,3
Whitefield,SVineun,1040.0,48.5,2,1,0,3,2
Lingadheeranahalli,Soiewre,1511.0,95.0,3,1,0,3,3
Hoodi,Caycend,1545.0,68.75,3,1,2,3,3
JP Nagar,DSvvyx ,1000.0,35.0,2,1,0,3,2
Kambipura,Prrtht ,883.0,45.0,2,1,2,3,2
Sarjapur  Road,Brareio,1195.0,70.0,2,1,2,3,2
Vittasandra,Prlla C,1246.0,67.0,2,1,0,3,2
Haralur Road,SNnia E,2805.0,154.0,5,3,2,3,4
VHBCS Layout,OlarkLa,1353.0,110.0,2,2,0,3,2
Electronic City,Prarkun,1599.0,125.0,3,2,2,3,3
Whitefield,SuMTBPr,1150.0,70.0,2,1,0,3,2
Jakkur,Lecco C,5230.0,465.0,6,1,2,3,4
KR Puram,Jahidva,1155.0,42.74,2,2,0,3,2
Rajiv Nagar,PuoodSk,1867.0,160.0,3,1,0,0,3
Ramagondanahalli,ViistLa,1251.0,47.0,2,1,2,3,2
Gattahalli,Arano M,1028.0,45.5,2,1,2,3,2
Arekere,Amngsag,1222.0,45.0,2,2,0,3,2
Bannerghatta Road,SNity S,1170.0,66.0,2,1,0,3,3
Hebbal,Kacesh ,2400.0,245.0,4,1,0,3,3
HSR Layout,SrisePo,1372.0,68.0,2,1,0,3,2
Magadi Road,Bilya A,1282.0,49.0,2,2,0,3,3
Mico Layout,Amsomun,5000.0,210.0,9,3,0,3,9
Kanakpura Road,Shdhia ,1135.0,39.73,2,1,0,3,2
Byatarayanapura,Foconna,1325.0,90.0,2,1,0,0,3
Electronic City,Prarkun,1599.0,99.0,3,2,2,3,3
K G Colony,Aincy R,1600.0,50.0,2,1,0,3,3
Hennur Road,Shxorm ,1195.0,63.77,2,0,2,3,2
Hebbal,Brium C,3450.0,260.0,5,2,0,3,3
Munnekollal,Sadhii ,1102.0,53.67,2,2,2,3,2
Yelahanka,Sahanra,1350.0,54.0,2,2,0,3,2
Kanakpura Road,PrarePa,525.0,27.25,1,1,2,3,1
Attibele,Jae 2hu,656.0,25.0,2,1,0,0,2
3rd Block Hrbr Layout,Icncy R,1056.0,80.0,2,1,0,3,2
Bannerghatta Road,Hiatei ,595.0,33.32,1,1,2,3,1
7th Phase JP Nagar,Puarero,2225.0,160.0,3,1,2,3,3
Bommasandra,DSoodil,1126.0,28.15,2,1,2,3,2
Electronics City Phase 1,GaicaVe,1490.0,84.0,3,1,0,3,3
Sarjapur  Road,PuineSu,1550.0,100.0,3,3,0,3,3
Whitefield,PrOakSi,4144.0,315.0,4,3,0,0,4
Sarjapur  Road,Supleon,2100.0,125.0,3,2,0,3,3
Vittasandra,Prlla C,1404.0,69.3,2,1,0,3,2
Sarjapur  Road,LGestbo,2230.0,225.0,4,3,0,2,4
Banashankari Stage III,Pridsi ,1305.0,58.7,2,1,2,3,3
Marathahalli,Aahts H,1230.0,80.0,2,2,0,3,2
Hormavu,Kolisl ,715.0,46.0,1,2,2,3,1
Whitefield,Toindls,2500.0,313.0,3,2,0,3,3
Dooravani Nagar,Puceswn,1578.0,180.0,3,1,0,3,3
Jigani,i1odsne,1020.0,40.0,2,1,0,3,2
Koramangala,Ansna K,1253.0,102.0,2,1,0,3,2
JCR Layout,ARnamru,1180.0,42.0,2,2,0,3,2
Nehru Nagar,Veyalin,961.0,38.0,2,2,0,3,2
Harlur,SomonCi,1709.0,150.0,3,2,0,3,3
Sneha Colony,Daill S,1260.0,45.0,2,2,0,3,2
RMV Extension,DSureSi,1630.0,85.0,3,2,0,0,3
Sarjapur  Road,Soini T,1249.0,44.71,3,2,2,3,3
Kalena Agrahara,MancyRe,1450.0,85.0,2,3,0,3,3
Konanakunte,Prasa W,2791.0,223.0,3,1,2,3,3
Ashwini layout,Kaantth,834.0,60.0,1,1,0,0,1
Gottigere,Drente ,891.0,25.0,2,1,0,0,2
Raja Rajeshwari Nagar,GrrvaGr,1133.0,49.07,2,1,0,3,2
Bisuvanahalli,Prityel,1075.0,37.0,2,1,0,0,3
Raja Rajeshwari Nagar,SGandea,1090.0,42.0,2,1,0,3,2
Hebbal,Mahosya,1920.0,134.0,3,2,2,3,3
HRBR Layout,Eline P,1374.0,95.0,2,2,0,0,2
Kanakapura,GoityEt,711.0,36.0,1,1,2,3,1
Tumkur Road,SosonGa,1500.0,95.0,3,3,0,3,3
Whitefield,Gotis A,1720.0,100.0,3,3,0,3,3
Mysore Road,PrntaEn,1200.0,85.0,2,1,0,3,2
Hosahalli,NSezeBr,1375.0,70.0,3,2,2,1,3
Jalahalli,Tahtsla,2250.0,160.0,3,2,0,3,3
Bellandur,Sronda ,1000.0,50.0,2,2,0,3,2
Jalahalli West,Prntsax,469.0,25.0,1,0,0,3,1
Marathahalli,PueraRi,3800.0,250.0,4,3,0,3,4
Kambipura,Prrtht ,883.0,29.0,2,1,0,3,2
GM Palaya,Chnts A,1820.0,86.0,2,3,0,3,3
Malleshwaram,GaityEt,2500.0,325.0,5,2,0,0,4
Jalahalli East,ShshaSa,750.0,40.0,1,2,0,3,1
Hosakerehalli,Taonte ,2378.0,262.0,3,1,0,3,3
Sarjapur,Ahownve,1128.0,60.0,2,1,0,3,2
Hebbal,Cevely ,1500.0,150.0,3,1,0,3,3
Kanakpura Road,PrarePa,1100.0,58.0,2,1,2,3,3
Bommasandra,Vaodspe,1200.0,46.0,3,2,0,3,3
Haralur Road,SNnia E,3385.0,260.0,5,2,2,0,4
Nagondanahalli,DSldsen,1641.0,66.0,3,2,0,3,3
Raja Rajeshwari Nagar,NaonySy,1260.0,67.39,2,1,0,3,2
Yelahanka,Rarthne,1120.0,48.13,2,0,0,3,2
Yelahanka,Pyikad ,1210.0,45.98,2,1,0,3,2
Bisuvanahalli,Prityel,1075.0,45.0,2,1,0,3,3
Thanisandra,Soitya ,1702.0,130.0,3,2,0,0,3
Shanthala Nagar,Malex C,1630.0,200.0,2,2,0,3,2
Raja Rajeshwari Nagar,GrrvaGr,1141.0,38.55,2,2,0,3,2
JP Nagar,Pehtsa ,4400.0,375.0,3,2,2,3,5
Bettahalsoor,Toainnt,3090.0,445.0,4,0,2,0,4
Yelahanka,Edreelm,35000.0,130.0,3,3,0,0,3
Ambedkar Colony,RMcesa ,1875.0,165.0,3,2,0,3,3
Brookefield,Krreera,1200.0,140.0,3,2,0,2,3
Whitefield,PaantPl,1140.0,56.0,2,1,0,3,2
Lingadheeranahalli,Soiewre,1683.0,109.0,3,1,0,3,3
Kaggadasapura,Golmsoy,1515.0,83.3,3,1,0,3,3
Hoodi,Caycend,2118.0,111.0,4,2,2,3,4
